# X, Y, Z, V, Ex, Ey, Ez
0.028 0 0.002 500 9.73354 -5.67663e-05 0
0.029 0 0.002 499.988 11.9934 -0.00570389 0.0651028
0.03 0 0.002 499.976 10.751 0.0213829 0.0728964
0.031 0 0.002 499.966 8.84492 0.00712238 0.305925
0.032 0 0.002 499.958 7.11341 0.108465 0.143364
0.033 0 0.002 499.952 4.91407 -0.162357 0.102609
0.034 0 0.002 499.949 2.40657 -0.0812158 0.41925
0.035 0 0.002 499.947 0 0 0
-0.035 0 0.003 499.947 0 0 0
-0.034 0 0.003 499.948 -2.46122 0.0138064 0.454702
-0.033 0 0.003 499.952 -4.84966 0.0169628 0.414693
-0.032 0 0.003 499.958 -7.09436 0.0187308 0.366634
-0.031 0 0.003 499.966 -9.09388 0.0146463 0.294534
-0.03 0 0.003 499.976 -10.772 0.0105875 0.206196
-0.029 0 0.003 499.987 -12.0265 0.0065312 0.108349
-0.028 0 0.003 500 -12.6135 9.90551e-05 0.000426328
-0.027 0 0.003 500 -919.793 0 0
-0.026 0 0.003 501.82 -1854.04 -0.0174041 -43.7237
-0.025 0 0.003 503.701 -1904.27 -0.0397502 -88.9189
-0.024 0 0.003 505.628 -1945.43 -0.0646265 -135.207
-0.023 0 0.003 507.592 -1976.25 -0.0905154 -182.338
-0.022 0 0.003 509.581 -1996.22 -0.116367 -230.048
-0.021 0 0.003 511.584 -2005.05 -0.140516 -278.071
-0.02 0 0.003 513.591 -2002.57 -0.162788 -326.137
-0.019 0 0.003 515.589 -1988.72 -0.18109 -373.978
-0.018 0 0.003 517.568 -1963.5 -0.187527 -421.329
-0.017 0 0.003 519.516 -1927.04 -0.190526 -467.921
-0.016 0 0.003 521.422 -1879.52 -0.181227 -513.496
-0.015 0 0.003 523.275 -1821.22 -0.163382 -557.788
-0.014 0 0.003 525.065 -1752.47 -0.13475 -600.543
-0.013 0 0.003 526.78 -1673.7 -0.0962674 -641.508
-0.012 0 0.003 528.412 -1585.35 -0.054715 -680.437
-0.011 0 0.003 529.951 -1487.94 -0.00649993 -717.097
-0.01 0 0.003 531.388 -1382.01 0.0365907 -751.267
-0.009 0 0.003 532.715 -1268.12 0.0687367 -782.744
-0.008 0 0.003 533.924 -1146.9 0.090936 -811.347
-0.007 0 0.003 535.009 -1019 0.0967331 -836.913
-0.006 0 0.003 535.962 -885.117 0.0885729 -859.311
-0.005 0 0.003 536.779 -745.975 0.0538361 -878.431
-0.004 0 0.003 537.454 -602.36 -0.00165129 -894.185
-0.003 0 0.003 537.984 -455.112 -0.0567096 -906.513
-0.002 0 0.003 538.365 -305.076 -0.130202 -915.366
-0.001 0 0.003 538.594 -153.154 -0.213815 -920.722
0 0 0.003 538.671 -0.287736 -0.287736 -922.566
0.001 0 0.003 538.595 152.589 -0.360461 -920.892
0.002 0 0.003 538.366 304.528 -0.41776 -915.71
0.003 0 0.003 537.985 454.604 -0.459215 -907.034
0.004 0 0.003 537.456 601.914 -0.48669 -894.894
0.005 0 0.003 536.782 745.582 -0.492082 -879.326
0.006 0 0.003 535.965 884.781 -0.482824 -860.383
0.007 0 0.003 535.012 1018.72 -0.45427 -838.141
0.008 0 0.003 533.928 1146.66 -0.411662 -812.697
0.009 0 0.003 532.719 1267.92 -0.369483 -784.172
0.01 0 0.003 531.392 1381.83 -0.325302 -752.717
0.011 0 0.003 529.955 1487.77 -0.273669 -718.509
0.012 0 0.003 528.416 1585.18 -0.223317 -681.751
0.013 0 0.003 526.785 1673.53 -0.190582 -642.667
0.014 0 0.003 525.069 1752.32 -0.161064 -601.503
0.015 0 0.003 523.28 1821.07 -0.131855 -558.516
0.016 0 0.003 521.427 1879.41 -0.119137 -513.973
